date,year,rocket_name,launchpad_name,success,flight_number
2006-03-24 22:30,2006,Falcon 1,Kwajalein Atoll,0,1
2007-03-21 01:10,2007,Falcon 1,Kwajalein Atoll,0,2
2008-08-03 03:34,2008,Falcon 1,Kwajalein Atoll,0,3
2008-09-28 23:15,2008,Falcon 1,Kwajalein Atoll,1,4
2009-07-13 03:35,2009,Falcon 1,Kwajalein Atoll,1,5
2010-06-04 18:45,2010,Falcon 9,Space Launch Complex 40,1,6
2010-12-08 15:43,2010,Falcon 9,Space Launch Complex 40,1,7
2012-05-22 07:44,2012,Falcon 9,Space Launch Complex 40,1,8
2012-10-08 00:35,2012,Falcon 9,Space Launch Complex 40,1,9
2013-03-01 19:10,2013,Falcon 9,Space Launch Complex 40,1,10
2013-09-29 16:00,2013,Falcon 9,Space Launch Complex 4E,1,11
2013-12-03 22:41,2013,Falcon 9,Space Launch Complex 40,1,12
2014-01-06 18:06,2014,Falcon 9,Space Launch Complex 40,1,13
2014-04-18 19:25,2014,Falcon 9,Space Launch Complex 40,1,14
2014-07-14 15:15,2014,Falcon 9,Space Launch Complex 40,1,15
2014-08-05 08:00,2014,Falcon 9,Space Launch Complex 40,1,16
2014-09-07 05:00,2014,Falcon 9,Space Launch Complex 40,1,17
2014-09-21 05:52,2014,Falcon 9,Space Launch Complex 40,1,18
2015-01-10 09:47,2015,Falcon 9,Space Launch Complex 40,1,19
2015-02-11 23:03,2015,Falcon 9,Space Launch Complex 40,1,20
2015-03-02 03:50,2015,Falcon 9,Space Launch Complex 40,1,21
2015-04-14 20:10,2015,Falcon 9,Space Launch Complex 40,1,22
2015-04-27 23:03,2015,Falcon 9,Space Launch Complex 40,1,23
2015-06-28 14:21,2015,Falcon 9,Space Launch Complex 40,0,24
2015-12-22 01:29,2015,Falcon 9,Space Launch Complex 40,1,25
2016-01-17 15:42,2016,Falcon 9,Space Launch Complex 4E,1,26
2016-03-04 23:35,2016,Falcon 9,Space Launch Complex 40,1,27
2016-04-08 20:43,2016,Falcon 9,Space Launch Complex 40,1,28
2016-05-06 05:21,2016,Falcon 9,Space Launch Complex 40,1,29
2016-05-27 21:39,2016,Falcon 9,Space Launch Complex 40,1,30
2016-06-15 14:29,2016,Falcon 9,Space Launch Complex 40,1,31
2016-07-18 04:45,2016,Falcon 9,Space Launch Complex 40,1,32
2016-08-14 05:26,2016,Falcon 9,Space Launch Complex 40,1,33
2016-09-01 13:07,2016,Falcon 9,Space Launch Complex 40,0,34
2017-01-14 17:54,2017,Falcon 9,Space Launch Complex 4E,1,35
2017-02-19 14:39,2017,Falcon 9,Launch Complex 39A,1,36
2017-03-16 06:00,2017,Falcon 9,Launch Complex 39A,1,37
2017-03-30 22:27,2017,Falcon 9,Launch Complex 39A,1,38
2017-05-01 11:15,2017,Falcon 9,Launch Complex 39A,1,39
2017-05-15 23:21,2017,Falcon 9,Launch Complex 39A,1,40
2017-06-03 21:07,2017,Falcon 9,Launch Complex 39A,1,41
2017-06-23 19:10,2017,Falcon 9,Launch Complex 39A,1,42
2017-06-25 20:25,2017,Falcon 9,Space Launch Complex 4E,1,43
2017-07-05 23:35,2017,Falcon 9,Launch Complex 39A,1,44
2017-08-14 16:31,2017,Falcon 9,Launch Complex 39A,1,45
2017-08-24 18:50,2017,Falcon 9,Space Launch Complex 4E,1,46
2017-09-07 13:50,2017,Falcon 9,Launch Complex 39A,1,47
